model,method,aggregation,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,composite_equal,equal_weight_per_target_query,29.35406601377113,27.745823393989475,10.797101449275361,19.92753623188406,1380,21.101534785085324,20.868115942028986,35.608695652173914,9.986956521739131,34.58695652173914,52.826086956521735,5.298913043478261,52.826086956521735,52.826086956521735,17.298106317934785,10.797101449275361,40.72463768115942,12.266304347826088,76.59420289855072,34.59339774557166,22.92291023970946,19.92753623188406,29.099142355554264,37.710144927536234,18.936594202898554,85.0,28.616183574879223,25.0479919143127,26.666666666666668,34.03921905163591,35.608695652173914,35.608695652173914,93.6231884057971,22.56182999769956,27.531301360049444,42.608695652173914
mt5,rrf_equal,equal_weight_per_target_query,28.99046495051372,28.232362687284233,9.782608695652174,19.057971014492754,1380,19.72358996712151,21.87463768115942,34.29710144927537,9.986956521739131,33.39130434782609,51.81159420289855,5.1974637681159415,51.81159420289855,51.81159420289855,16.24115432518116,9.782608695652174,40.821256038647334,12.295289855072465,75.14492753623189,34.770531400966185,21.922972441228005,19.057971014492754,28.511058006403506,37.449275362318836,18.806159420289852,85.72463768115942,28.27608695652174,23.803302496798633,24.782608695652176,32.82120172256797,34.29710144927537,34.29710144927537,94.71014492753623,21.663653094087877,26.25850771453033,39.20289855072463
mt5,mlp_listnet,equal_weight_per_target_query,26.59125073188363,32.494330053340526,9.347826086956522,18.478260869565215,1380,19.18618739858528,22.431884057971015,32.54347826086956,9.986956521739131,28.405797101449277,43.6231884057971,4.378623188405797,43.6231884057971,43.6231884057971,14.485535552536232,9.347826086956522,37.94685990338164,11.432971014492754,71.59420289855073,31.01046698872786,20.39095766426195,18.478260869565215,26.464013566587468,35.08695652173913,17.625,82.10144927536231,25.670772946859906,22.272630351299167,25.144927536231883,30.808615285109408,32.54347826086956,32.54347826086956,93.11594202898551,19.789653784219002,24.595805028715123,38.405797101449274
mt5,single_new_geo,equal_weight_per_target_query,23.668722400493635,36.754270237368374,7.971014492753622,16.52173913043478,1380,18.141092690228135,23.159420289855074,31.681159420289855,9.986956521739131,24.77536231884058,37.608695652173914,3.777173913043478,37.608695652173914,37.608695652173914,12.434966598731883,7.971014492753622,34.61352657004831,10.432971014492754,70.65217391304348,26.759259259259256,18.186331999146244,16.52173913043478,24.724113753406257,33.42028985507247,16.791666666666668,81.59420289855073,23.332367149758454,20.418537198825856,23.768115942028984,29.552415910874807,31.681159420289855,31.681159420289855,92.3913043478261,18.51298309178744,22.923620257873694,39.20289855072463
mt5,lightgbm_lambdarank,equal_weight_per_target_query,21.77013394628141,37.383616273830874,7.391304347826087,15.36231884057971,1380,16.990461722555587,23.318115942028985,29.608695652173918,9.986956521739131,21.992753623188406,35.21739130434783,3.5380434782608696,35.21739130434783,35.21739130434783,10.98335597826087,7.391304347826087,32.22222222222222,9.715579710144926,67.31884057971016,24.75845410628019,16.62111341910536,15.36231884057971,22.676770275935283,31.391304347826086,15.77717391304348,81.81159420289855,21.008695652173913,18.863612201138906,22.10144927536232,27.01659417219603,29.608695652173918,29.608695652173918,93.18840579710145,16.5166149068323,21.19674246395481,35.21739130434783
mt5,single_script,equal_weight_per_target_query,22.25632830074372,38.19935289101116,3.3333333333333335,17.608695652173914,1380,15.56984081099434,23.268840579710144,32.77536231884058,9.986956521739131,21.51589714472398,28.47826086956522,2.864130434782609,28.47826086956522,28.47826086956522,6.061693274456522,3.3333333333333335,40.28985507246377,12.13586956521739,76.01449275362319,28.808373590982285,16.238082545552995,17.608695652173914,23.778981007545923,35.608695652173914,17.885869565217394,84.85507246376811,23.541545893719807,18.695070069128008,25.94202898550725,29.690098098093635,32.77536231884058,32.77536231884058,91.52173913043478,18.97946859903382,20.28638669502251,34.05797101449276
mt5,random,equal_weight_per_target_query,18.42875805090525,38.33711316980116,2.898550724637681,11.08695652173913,1380,11.98539757361405,27.285507246376813,28.485507246376805,9.986956521739131,15.615942028985508,28.6231884057971,2.878623188405797,28.6231884057971,28.6231884057971,5.809343863224638,2.898550724637681,30.748792270531407,9.27355072463768,63.26086956521739,22.596618357487916,11.056834231985615,11.08695652173913,18.69990476729351,28.536231884057976,14.349637681159422,75.28985507246377,18.595652173913045,12.497589227315858,14.927536231884059,24.38540868279929,28.485507246376805,28.485507246376805,88.33333333333333,15.643760064412238,15.460087362144256,31.956521739130434
mt5,single_distals_asjp,equal_weight_per_target_query,21.114709091799018,39.604244550540336,7.898550724637682,14.782608695652174,1380,16.54905127889931,25.17391304347826,28.76086956521739,9.986956521739131,20.90217391304348,30.942028985507246,3.1105072463768115,30.942028985507246,30.942028985507246,11.682305819746377,7.898550724637682,30.96618357487923,9.33876811594203,62.2463768115942,23.784219001610303,16.423207145670187,14.782608695652174,21.987466705062047,29.898550724637683,15.030797101449275,76.8840579710145,20.206763285024156,18.469136218864953,20.724637681159418,26.295883581854262,28.76086956521739,28.76086956521739,91.66666666666666,16.090487692661604,20.63255675720023,33.18840579710145
mt5,single_new_typ,equal_weight_per_target_query,18.0571812950097,40.08318798908013,4.782608695652174,10.507246376811594,1380,13.208715609033577,26.53840579710145,30.442028985507246,9.986956521739131,16.631561996779386,28.550724637681157,2.8713768115942027,28.550724637681157,28.550724637681157,7.523069519927536,4.782608695652174,29.71014492753623,8.961956521739129,65.72463768115942,21.94847020933977,11.579164411256244,10.507246376811594,20.12266727198836,30.739130434782613,15.45108695652174,81.81159420289855,19.507487922705316,13.971846811848243,16.52173913043478,25.59922944241112,30.442028985507246,30.442028985507246,92.82608695652173,16.325488842880148,16.81232668387627,30.144927536231886
mt5,single_new_gen,equal_weight_per_target_query,17.48685483064649,41.5738148640591,6.231884057971015,12.173913043478262,1380,15.412197208602283,24.44927536231884,29.44202898550724,9.986956521739131,18.086956521739133,27.753623188405797,2.791666666666667,27.753623188405797,27.753623188405797,9.49791949728261,6.231884057971015,26.08695652173913,7.875,50.43478260869565,20.865539452495977,13.217828394282735,12.173913043478262,20.589581133313175,29.942028985507253,15.052536231884059,79.27536231884058,19.12729468599034,16.42109302755296,21.231884057971016,25.721390888061187,29.44202898550724,29.44202898550724,91.3768115942029,15.721304922935358,19.023102825743305,36.01449275362319
mt5,single_distals_wiki_size,equal_weight_per_target_query,15.677669124398404,43.05353380970102,1.6666666666666667,9.710144927536232,1380,11.475107401776901,25.76014492753623,27.159420289855067,9.986956521739131,14.105529552218627,18.478260869565215,1.8641304347826089,18.478260869565215,18.478260869565215,3.4586588541666665,1.6666666666666667,27.318840579710148,8.244565217391305,61.66666666666667,17.35104669887279,8.963946664080492,9.710144927536232,17.379509809575662,29.57971014492754,14.871376811594207,79.27536231884058,16.817149758454107,12.21836164784842,19.130434782608695,22.280555526113417,27.159420289855067,27.159420289855067,89.20289855072464,13.546333678398897,14.402651626524579,31.521739130434785
