model,model_name,method,n_tasks,n_queries,aggregation,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10,source_artifact
mt5,mT5,rrf_equal,9,1380,equal_weight_per_held_out_task,40.418639700287095,19.850585443987303,14.006315565207872,26.173373444721783,27.218373818308464,16.539154293461152,52.35760859636017,9.77777777777778,42.81270039347319,61.8307336385921,6.460851141636989,61.8307336385921,61.8307336385921,22.75976843780842,14.006315565207872,56.3818395514099,17.747885198756304,81.23012728131705,50.7872801732368,30.2945973780502,26.173373444721783,42.39376247895368,54.562953540087534,28.670365658932653,88.12288896808504,46.85381249714165,33.82864135797232,41.68224683333645,49.46362085878671,52.35760859636017,52.35760859636017,95.46341171389656,42.00773668866324,36.22805393619993,62.99249948071041,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,composite_equal,9,1380,equal_weight_per_held_out_task,40.6310569060533,20.312709859465528,14.646655817184978,27.467156582963,27.85281270171831,16.530001077118968,52.2604279530529,9.77777777777778,42.11341349884516,60.90814605240434,6.368592383018212,60.90814605240434,60.90814605240434,23.01047974339856,14.646655817184978,56.299970761183175,17.72332456168829,81.37437454787985,50.85141339984905,30.67952879520553,27.467156582963,42.46827087733842,54.69795874357968,28.73786826067873,87.41978177639777,47.03931502462894,34.10290751457809,40.998559333675566,49.56521417744187,52.2604279530529,52.2604279530529,94.36545093794297,41.94247350542268,36.46188785595886,62.40983555556133,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,mlp_listnet,9,1380,equal_weight_per_held_out_task,41.03120418605417,20.66273455720098,14.359352607558485,28.63443583617968,27.24141775241568,17.18308509852368,51.12027785360809,9.77777777777778,42.16646356940175,58.95055405784271,6.17283318356205,58.95055405784271,58.95055405784271,22.991018694759823,14.359352607558485,55.936624455332186,17.61432066993299,79.79680476067894,50.28209412308301,31.1991569496929,28.63443583617968,42.55947789892653,54.56887467726897,28.673326227523376,86.84927772493874,46.60831346170737,34.099636653662785,41.33462950742114,48.74743567137267,51.12027785360809,51.12027785360809,93.8265514194008,41.04403355753277,36.18713234932042,59.45656516907479,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,single_new_gen,9,1380,equal_weight_per_held_out_task,39.79515063700296,22.68350206325366,12.519448828759131,29.090498104432616,25.52437791565353,19.161093070585498,50.431714236000445,9.77777777777778,41.18453795740941,59.96949302986933,6.274727080764712,59.96949302986933,59.96949302986933,20.237532684105123,12.519448828759131,54.94106878999103,17.315653970330644,74.59109979424478,51.150947028032505,29.212188143733236,29.090498104432616,41.07436212886739,53.62772181086481,28.202749794321296,84.26470945373755,46.95372581060024,31.69815783944346,37.42703403890123,47.13340005032213,50.431714236000445,50.431714236000445,92.31735927367724,41.2863309294382,33.74755280433755,54.48749863961801,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,lightgbm_lambdarank,9,1380,equal_weight_per_held_out_task,39.25201513196858,23.137890868237857,12.55915241826684,25.97638968352185,25.512316050385078,17.731766906336016,50.68348558642734,9.77777777777778,40.81272857498916,58.9487065533736,6.172648433115138,58.9487065533736,58.9487065533736,21.022995010987685,12.55915241826684,54.323721011640686,17.130449636825542,80.55258813803543,48.50736964286645,29.15956224451372,25.97638968352185,40.49050233658306,52.6196282885685,27.69870303317314,86.89530395576838,44.71131973951889,31.865518469234864,36.32907086994893,47.49283781173409,50.68348558642734,50.68348558642734,94.2274874024192,40.41193148829237,34.4662792799191,62.20934505845466,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,single_script,9,1380,equal_weight_per_held_out_task,33.143150294691125,24.320022533577475,4.3291545889712495,22.373244444933643,19.350484881570097,19.974731876791218,47.52161501023806,9.77777777777778,31.65961233129029,46.44009637838903,4.921787415616681,46.44009637838903,46.44009637838903,10.175051751840426,4.3291545889712495,51.22464560462754,16.200727014721597,77.23073916452762,43.53303979263095,21.87728202516656,22.373244444933643,35.93516886904888,50.42789404976624,26.602835913772008,85.90912841735475,40.98199820420567,25.12936670229176,38.431276721006434,43.15004933983281,47.52161501023806,47.52161501023806,92.28184287527084,36.9218183111072,26.834437482494582,53.11348840727031,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,single_distals_asjp,9,1380,equal_weight_per_held_out_task,37.79471590968514,24.423553095052142,15.78442158956964,24.17260221961869,26.62323560394729,19.129973251206533,50.66088076810426,9.77777777777778,39.643971903486246,57.381613342324414,6.015939112010219,57.381613342324414,57.381613342324414,22.654168326902884,15.78442158956964,53.843050038059744,16.986248344751257,76.57702095131367,48.68043495972415,29.193834481282035,24.17260221961869,40.14546078779406,52.6431415409908,27.710459659384288,84.92441805816965,44.94184984177568,32.41117334552828,37.1606571117048,46.94396729676401,50.66088076810426,50.66088076810426,92.71698763453028,40.63979319175514,34.565019786589005,57.99026123919609,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,single_new_geo,9,1380,equal_weight_per_held_out_task,39.22363503759715,24.71851062125753,13.769117600299037,29.184962253849854,27.348566569484824,17.549516668132085,51.51538119350512,9.77777777777778,38.32951984771443,58.977137838891394,6.1754915616669175,58.977137838891394,58.977137838891394,20.07994510520521,13.769117600299037,56.68962285156841,17.840220188803855,79.31985876846755,51.34683409127055,28.95203583066421,29.184962253849854,40.92226855681062,54.86109607982424,28.81943692880101,86.16388798250765,47.67619317235668,31.741386928318484,38.188898347560176,47.97902836378444,51.51538119350512,51.51538119350512,93.39981569782589,42.26021218566704,34.36355517999792,63.66025989785956,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,single_new_typ,9,1380,equal_weight_per_held_out_task,37.67985242870444,24.782684767710705,11.218982146603262,25.05624594077637,23.71805875328165,19.83223834065547,49.930696468232014,9.77777777777778,36.15872578275502,53.5421572672222,5.631993504499999,53.5421572672222,53.5421572672222,18.9501049893383,11.218982146603262,51.70978838945847,16.346269850170877,76.46203180344075,45.64065619115188,27.025842629060435,25.05624594077637,38.92627728828298,51.25689274476767,27.017335261272724,84.69967468506019,42.91332590862977,29.588507710496028,35.177958164299085,45.33495789363834,49.930696468232014,49.930696468232014,93.70889181306735,39.16192600676381,32.03094015259174,53.961297283602335,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
mt5,mT5,random,9,1380,equal_weight_per_held_out_task,28.194917240105024,26.43614584468353,3.310783902256304,15.997858007829652,15.078761212311797,23.75809974493224,45.56382501224003,9.77777777777778,23.48732774700916,45.93747775534801,4.871525553312579,45.93747775534801,45.93747775534801,7.295369364104636,3.310783902256304,46.05252989691777,14.649092302408665,69.22362649029813,40.23977897312077,15.642949921081286,15.997858007829652,30.726366600570863,45.83857405042512,24.30817591410145,78.32173435150978,38.47105694850051,18.151399362783653,25.190798843016715,38.04060899244984,45.56382501224003,45.56382501224003,89.33736892963972,35.26649447120674,20.544412416363805,46.301126660686975,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_macro_task.csv
